gene	transcript	exper_rep1	exper_rep2	exper_rep3	control_rep1	control_rep2	control_rep3
DQ726888	uc029tge.1	0.00	0.00	0.00	0.00	0.00	0.00
Sf3a3	uc008uqw.1,uc008uqx.1	173.00	218.00	95.00	233.06	139.00	151.00
Eif2ak3	uc009cga.1,uc009cgb.1,uc009cgc.1	83.00	98.00	43.00	262.00	177.00	236.66
Gga2	uc009joa.1,uc009job.1,uc009joc.1,uc009jod.1	108.00	180.00	93.00	300.00	156.00	191.05
Klra17	uc009egt.2,uc009egu.2,uc009egw.1,uc012ets.1	1.00	2.00	1.00	4.00	4.00	0.00
DQ711444	uc029sfk.1	0.00	0.00	0.00	0.00	0.00	0.00
D4Ertd617e	uc008uko.1	1.26	0.00	0.00	0.00	0.00	0.00
Zdhhc8	uc007ymx.1,uc029swk.1	95.00	121.00	55.00	192.83	87.59	132.00
Scgb2b24	uc009gim.1	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r136	uc009ejo.1	0.00	0.00	0.00	0.00	0.00	0.00
Rps14	uc008fay.2	5683.00	8026.82	2927.00	5029.00	5005.00	3127.00
DQ708916	uc007vud.2	0.00	0.00	0.00	0.00	0.00	0.00
Defb18	uc007akm.1	0.00	0.00	0.00	0.00	0.00	0.00
Gm8882	uc012eue.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ566335	uc029shg.1	0.00	0.00	0.00	0.00	0.00	0.00
Gm4567	uc009fob.2,uc012fch.2,uc012fdp.2	0.00	0.00	0.00	0.00	0.00	0.00
Gm13547	uc012btg.1	0.00	0.00	0.00	0.00	0.00	0.00
Tuba1c	uc007xom.1	1000.17	1337.87	508.33	1133.56	793.31	790.72
Prss42	uc009rus.1	0.00	0.00	0.00	0.00	0.00	0.00
C030006K11Rik	uc007wmf.2,uc007wmg.1,uc011zvb.1	425.00	658.00	253.00	614.99	380.00	508.80
Olfr706	uc009jak.1	0.00	0.00	0.00	0.00	0.00	0.00
Chmp5	uc008sia.1,uc008sib.1	654.00	953.00	422.00	835.00	688.04	641.52
DQ694195	uc007omz.2	0.00	0.00	0.00	0.00	0.00	0.00
Stard7	uc008mfd.2,uc008mfe.2,uc012cdm.1	1317.03	1548.48	849.00	2252.09	1400.71	1722.01
Olfr1105	uc008kni.1	0.00	0.00	0.00	0.00	0.00	0.00
4931408A02Rik	uc007zwp.2,uc007zwq.2,uc007zwr.2,uc007zws.2,uc012aie.1,uc012aif.1	4.00	4.00	3.00	7.00	3.00	4.00
Lilra5	uc009exf.2	116.00	102.00	47.00	119.00	102.03	53.00
Panx2	uc007xfa.2,uc011zxq.1	1.00	0.00	0.00	1.00	0.00	0.00
