gene	transcript	exper_rep1	exper_rep2	exper_rep3	control_rep1	control_rep2	control_rep3
Fstl5	uc008pnj.2,uc029umr.1	0.00	0.00	0.00	0.00	0.00	0.00
Ccdc157	uc007huk.1,uc007hul.1,uc007hum.1,uc007hun.1	282.00	296.00	139.00	378.00	216.00	202.00
AK178890	uc029xfn.1	0.00	32.81	0.00	0.00	3.56	0.00
Lsm2	uc008cer.3,uc008ces.2,uc008cet.2,uc008ceu.1,uc029thi.1	210.01	273.87	85.00	167.00	107.03	139.00
Dhrs4	uc007tyl.2,uc007tym.2,uc007tyn.1	2626.12	3587.00	1726.31	2546.97	1661.04	1986.98
1700031F10Rik	uc009cvf.1	0.00	0.00	0.00	0.00	0.00	0.00
Amigo2	uc007xks.2,uc011zyk.1,uc011zyl.1	179.00	165.00	81.00	192.00	88.00	122.00
DQ714940	uc007ans.2,uc008gwz.2,uc009hcb.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ539915	uc009vey.1	567437.93	398148.88	216445.15	469424.49	395010.74	233762.97
DQ713011	uc007sic.2	0.00	0.00	0.00	0.00	0.00	0.00
S100a7a	uc008qdc.1	0.00	0.00	0.00	0.00	0.00	0.00
Trim25	uc007kwb.1,uc007kwc.1,uc011ycl.1,uc011ycm.1,uc029rnk.1	1071.02	1177.98	564.04	2676.61	1575.19	1532.55
1700125G02Rik	uc029uzi.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ686858	uc008fjs.2	0.00	0.00	0.00	0.00	0.00	0.00
Chsy3	uc008ezv.1,uc008ezw.1,uc008ezx.1,uc012bdi.1	29.00	35.00	18.00	84.00	54.00	88.00
Vmn2r42	uc009fcy.1	0.00	0.00	0.00	0.00	0.00	0.00
Guk1	uc007jdg.2,uc011xvm.1	977.06	1508.00	587.00	827.00	742.00	448.97
Tnf	uc008cgr.1,uc008cgs.1,uc012arb.1	7.00	16.00	6.00	15.00	7.00	2.00
St8sia1	uc009epv.1	1.00	1.00	1.00	1.07	4.00	1.00
DQ703719	uc029vrp.1	0.00	0.00	0.00	0.00	0.00	0.00
Morn5	uc008jlc.1	0.00	0.00	0.00	0.00	1.00	0.00
Wnt9b	uc007lvr.1	10.00	13.00	5.00	24.00	11.00	19.00
Bhmt2	uc007rlk.1	2317.25	2952.08	1250.00	3830.88	2383.00	2824.03
Gp9	uc009ctv.1	2.00	1.00	0.00	3.00	4.00	1.00
DQ701973	uc009dxt.2	0.00	0.00	0.00	0.00	0.00	0.00
Fut11	uc007skk.1	44.07	48.30	20.85	138.44	88.51	82.65
DQ701953	uc009edz.2	0.00	0.00	0.00	0.00	0.00	0.00
Tm4sf1	uc008pgy.1,uc008pgz.1	240.00	329.00	197.00	295.00	183.00	212.00
Slc28a3	uc007qud.1,uc007que.1	0.00	0.96	4.00	4.01	0.00	1.00
DQ711072	uc008yxg.2	0.00	0.00	0.00	0.00	0.00	0.00
AK076946	uc007fkm.1	0.00	0.00	0.00	0.00	0.00	0.00
Mab21l2	uc008prj.1	17.00	8.00	5.00	23.00	11.00	15.00
AK197994	uc029wbg.1	0.00	0.00	0.00	0.00	0.00	0.00
Sema3b	uc009rmf.1,uc009rmg.1,uc009rmh.1,uc009rmi.1,uc009rmj.1,uc012haj.1	12.00	28.00	14.87	31.04	7.00	11.00
BC049735	uc009goz.1	0.00	0.00	0.00	0.00	0.00	0.00
Znhit1	uc009abh.1,uc009abi.1	582.00	747.26	256.00	458.85	457.38	312.73
DQ715130	uc029roo.1	0.00	0.00	0.00	0.00	0.00	0.00
Srpk3	uc009tmo.1	3.00	3.00	3.00	1.00	1.00	1.00
AK084494	uc008lll.1	1.00	0.00	3.00	3.00	4.00	0.00
AK159017	uc007vhs.1	0.00	0.00	0.00	0.00	0.00	0.00
Cyb5rl	uc008tzb.1,uc008tzc.1,uc008tzd.1,uc008tze.1,uc012dib.1	128.00	175.00	71.00	214.00	114.00	115.00
Vav2	uc008ixh.1,uc008ixi.1	196.00	160.06	133.00	617.18	345.00	467.95
2310015A10Rik	uc007oam.1,uc007oan.2	34.00	33.00	13.00	49.00	33.00	37.00
Metrn	uc008bbz.1,uc008bca.1,uc008bcb.1	48.00	95.00	37.00	70.00	33.00	45.00
AK077175	uc009qzb.1	1.00	5.00	0.00	0.00	0.00	1.00
Aoc3	uc007lop.2,uc007loq.1	1.12	4.00	1.00	4.35	0.00	14.00
Aff3	uc007ass.2,uc007ast.1,uc007asu.1	2.00	4.00	2.00	8.00	4.00	6.00
Med20	uc008cvr.1,uc008cvs.1,uc008cvt.1	185.48	223.15	100.13	342.18	226.99	243.14
AB346803	uc029ttu.1	0.00	0.00	0.00	0.00	0.00	0.00
AK135736	uc007xhl.1	0.00	0.00	0.00	0.00	0.00	0.00
Dnajb9	uc007nlo.1	677.96	750.00	404.00	1075.96	803.00	855.99
Cep76	uc008fmq.1,uc008fmr.1	45.00	53.00	35.00	99.00	63.00	67.00
Mtmr4	uc007ktz.1,uc007kua.1,uc007kub.1	491.38	482.00	238.00	1432.00	711.99	782.00
DQ724381	uc009asb.2	0.00	0.00	0.00	0.00	0.00	0.00
Ap4s1	uc007nmv.2,uc007nmw.2	191.00	246.00	109.00	167.00	142.00	117.00
Tmem149	uc009gfb.1,uc009gfd.1,uc012fhs.1	52.53	66.30	24.00	48.43	54.74	22.08
Hoxb1	uc007lbz.2	0.00	0.00	0.00	0.00	0.00	0.00
DQ710118	uc009hcs.1	0.00	0.00	0.00	0.00	0.00	0.00
Asap3	uc008vhu.2,uc012dng.1	82.00	104.00	48.00	297.00	163.00	212.00
Tspan6	uc009ufa.1	5.00	6.00	1.00	6.00	4.00	2.00
Unc13a	uc009mei.3,uc009mej.2	10.00	9.00	8.00	10.00	10.00	6.00
Vmn2r54	uc009vee.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ710249	uc008mxg.2	0.00	0.00	0.00	0.00	0.00	0.00
Tmx4	uc008mnt.2,uc008mnu.1	126.00	157.03	69.00	349.00	215.00	200.01
Fam75d1d	uc007qvb.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ695202	uc029tjv.1	0.00	0.00	0.00	0.00	0.00	0.00
AK017048	uc008vyo.1	0.00	0.00	0.00	0.00	0.00	0.00
Tgfbr1	uc008sun.1,uc008suo.1,uc008sup.1	217.00	267.00	145.00	632.00	305.45	483.00
Gm3279	uc009caw.1	0.00	0.00	0.00	0.00	0.00	0.00
Rep15	uc009esr.1	1.00	2.00	0.00	2.00	0.00	4.00
6530402F18Rik	uc008izq.1	6.00	14.00	4.00	14.00	8.00	9.00
Myl3	uc009rur.1	0.00	0.00	77.00	0.00	0.00	0.00
Tppp	uc007reo.2	87.00	76.00	75.00	291.00	146.00	174.20
E030018B13Rik	uc029wgd.1	19.00	12.00	1.00	2.00	4.00	7.00
Ms4a10	uc008grk.1,uc012bir.1	0.00	0.00	0.00	0.00	0.00	0.00
Mir466h	uc029uwl.1	0.00	0.00	0.00	0.00	0.00	0.00
Ube4b	uc008vwd.1,uc008vwg.2,uc012dpr.1	970.00	603.00	333.00	1183.00	663.87	758.00
Gm14812	uc012hmo.1	0.00	0.00	0.00	0.00	0.00	0.00
Mir1931	uc011xlp.1	0.00	0.00	0.00	0.00	0.00	0.00
Mir218-1	uc012dwd.1	0.00	0.00	0.00	0.00	0.00	0.00
Krtap2-4	uc011yeq.1	0.00	0.00	0.00	0.00	0.00	0.00
1700019E08Rik	uc008jpm.1	0.00	0.00	0.00	0.00	0.00	0.00
Grap	uc007jhz.1	43.00	63.00	32.01	36.58	25.00	32.00
AK039053	uc009rzn.1	2.00	3.00	1.00	3.00	1.00	3.00
DQ695567	uc008fjt.1	0.00	0.00	0.00	0.00	0.00	0.00
Snord35a	uc009gtl.1	0.00	0.00	0.00	0.00	0.00	0.00
Fxyd5	uc009gho.2,uc009ghp.2,uc009ghq.2	99.00	141.00	87.12	73.01	74.46	52.05
DQ716375	uc008bnk.1	0.00	0.00	0.00	0.00	0.00	0.00
Defb2	uc009lca.1	0.00	0.00	0.00	0.00	0.00	0.00
Senp1	uc007xlr.3,uc007xls.3,uc007xlt.3,uc007xlu.3	80.00	65.00	36.00	202.01	102.04	86.00
Atp2a2	uc008zli.2,uc008zlj.2	1153.91	1052.00	661.00	4039.02	2032.00	2391.00
DQ705435	uc009ebh.1	0.00	0.00	0.00	0.00	0.00	0.00
Dhrs13	uc007khu.1,uc007khv.1,uc011yac.1	105.00	142.00	51.00	69.00	66.00	46.00
Nr5a1	uc008jnr.1,uc008jns.1,uc008jnt.1	0.00	0.00	0.00	0.00	0.00	1.00
Phip	uc009qvu.1,uc009qvv.1,uc009qvw.1,uc009qvx.1,uc009qvy.1,uc009qvz.1,uc009qwa.1,uc009qwb.1	120.00	114.00	67.00	413.00	249.00	211.00
DQ704704	uc029vzm.1	0.00	0.00	0.00	0.00	0.00	0.00
Psg28	uc009fjk.2	1.96	2.00	1.00	3.02	1.00	0.00
H2-L	uc029thj.1	0.00	0.00	0.00	0.00	0.00	0.00
Tbp	uc008aom.2,uc008aon.2,uc008aoo.2,uc008aop.1,uc012akt.1	123.00	121.00	47.00	178.00	98.00	87.00
Gm13288	uc008tnw.2	0.00	0.00	0.00	0.00	0.00	0.00
March11	uc007vjl.2,uc007vjm.2,uc011zrq.1	0.00	0.00	0.00	1.00	0.00	0.00
Polr2f	uc007wst.1	303.00	579.00	135.00	287.00	251.17	215.00
AK030886	uc008wdi.1	5.18	3.16	0.00	4.60	0.00	2.29
Marveld3	uc009njp.2,uc009njq.2	43.00	20.00	12.00	17.00	11.00	7.00
DQ685776	uc008api.1	179.00	210.05	98.00	541.87	313.00	340.02
AK157947	uc007vbh.1	17.00	0.00	10.00	8.43	11.00	11.00
Xkr9	uc007aiv.1	224.00	286.52	108.00	383.00	279.00	230.00
Cxxc4	uc008rkw.2	2.00	0.00	2.00	1.00	4.00	6.00
Olfr211	uc009dke.1	0.00	0.00	0.00	0.00	0.00	0.00
Vwa1	uc008weq.2	10.90	19.00	9.00	19.33	4.43	17.83
E330017L17Rik	uc008uyj.2,uc008uyk.2	0.00	0.00	0.00	0.00	0.00	0.00
AK138667	uc007enp.1	2.00	0.00	0.00	2.00	1.00	0.00
Phf21a	uc008kxh.2,uc008kxi.2,uc008kxj.2,uc008kxk.1,uc008kxl.2	134.99	122.00	68.00	340.00	160.00	198.00
DQ560731	uc008bhr.1	0.00	0.00	0.00	0.00	0.00	0.00
A730037C10Rik	uc008pgg.2,uc008pgh.1,uc012cpm.1,uc012cpn.1,uc012cpo.1	1.00	0.00	0.00	2.00	0.00	1.00
Ccar1	uc007fja.2,uc007fjb.1,uc007fjc.2,uc007fjd.1,uc011xff.1	319.77	328.27	145.01	735.01	459.35	427.87
G6pdx	uc009toy.1	59.00	71.73	35.00	86.00	47.00	52.00
Kcnmb1	uc007iks.2	0.98	1.00	1.00	0.78	0.00	0.00
Prodh	uc007yms.1,uc007ymu.1	1640.00	2463.94	927.00	3325.69	2184.00	2292.61
DQ553663	uc009dze.2	0.00	0.00	0.00	0.00	0.00	0.00
Syf2	uc008vga.1	477.56	567.84	228.00	519.00	317.00	394.00
Lcp2	uc007iku.1,uc007ikv.1	115.00	112.99	51.00	153.47	116.01	90.18
Tbc1d30	uc007hfl.2,uc007hfm.2	151.00	51.00	42.00	89.00	53.00	89.00
Irx1	uc007rdd.1	28.00	21.00	4.00	24.00	10.00	32.00
Ethe1	uc009fqb.2	322.00	538.00	174.00	543.00	304.00	368.00
1300017J02Rik	uc009rgk.1	5965.01	6735.73	2853.00	8765.24	5639.29	6315.12
LOC624759	uc029upi.1	4.00	2.12	0.00	7.86	1.00	4.27
Lsm1	uc009lgz.1,uc009lha.1	342.34	441.72	188.01	247.21	263.02	149.92
Vmn1r85	uc009ffh.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ704746	uc009ara.2	0.00	0.00	0.00	0.00	0.00	0.00
Chmp6	uc007mrd.2	236.00	432.00	121.00	281.00	177.00	214.00
Snx15	uc008ghm.1	146.00	232.00	67.00	213.74	84.00	130.00
AK185421	uc009jvu.1	0.00	0.00	0.00	0.00	0.00	0.00
Ppp1r14a	uc009gbn.1	21.00	44.00	20.00	12.00	16.00	15.00
Arhgef37	uc008fca.2	58.00	38.00	22.00	77.00	69.00	58.00
Arhgap33	uc009geq.1,uc009ger.1,uc009ges.1	15.00	2.00	5.00	11.00	9.00	4.00
Lamb3	uc007eee.1,uc007eek.1	775.00	847.00	489.00	327.00	149.00	181.00
Ptprv	uc007csr.2	0.00	2.00	1.00	1.00	1.00	1.00
Maz	uc009jua.1,uc009jub.1,uc009juc.1	634.99	901.17	316.96	1054.00	551.00	750.25
4933432I09Rik	uc012aca.1,uc012acb.1	0.00	0.00	0.00	0.00	0.00	1.00
1700003G18Rik	uc009jiv.2	1.00	0.00	0.00	0.00	1.00	1.00
Ak5	uc008rtq.1	0.00	1.00	0.00	0.00	1.00	0.00
Tas2r143	uc009brf.1	0.00	0.00	0.00	0.00	1.00	0.00
Tbpl1	uc007epp.2,uc007epq.2	95.00	109.00	49.00	129.00	133.00	77.00
AK079670	uc008lhs.1	0.00	0.00	0.00	0.00	0.00	0.00
Wipi2	uc009aiy.1	984.34	1117.92	530.00	1392.00	853.00	958.00
Vmn1r155	uc012fcf.1,uc012fcj.1,uc012fdn.1,uc012feg.1,uc012fer.1	0.00	0.00	0.00	0.00	0.00	0.00
Dennd5a	uc009jek.1,uc009jel.1,uc009jem.1	269.02	267.89	126.00	686.03	404.00	445.00
DQ714645	uc009qgz.2	0.00	0.00	0.00	0.00	0.00	0.00
Wdr90	uc008bci.2,uc008bcj.2,uc012anm.1	59.00	58.00	27.92	136.00	70.80	78.00
Grid2ip	uc009akd.1,uc009ake.1,uc009akf.1	0.00	0.00	0.00	0.00	0.00	0.00
Ppm1d	uc007krl.2,uc007krm.1,uc011ybp.1,uc011ybq.1	60.00	64.00	29.00	93.00	40.00	43.00
DQ693335	uc007vvn.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ692955	uc009hth.1	0.00	0.00	0.00	0.00	0.00	0.00
Il17ra	uc009dnj.2	269.90	211.13	106.04	418.72	243.18	252.71
Vax2os1	uc009cny.2,uc009cnz.1,uc009coa.1	0.00	0.00	0.00	0.00	0.00	0.00
Slc16a14	uc007btd.1	0.00	0.00	0.00	0.00	0.00	0.00
Chek2	uc008yrw.1,uc008yrx.1	27.00	34.09	22.00	25.03	29.00	14.00
Ddx26b	uc009tge.2,uc009tgf.2,uc009tgg.2,uc009tgh.2	56.00	43.00	24.00	88.00	68.00	49.00
BC055351	uc007sbu.2	0.00	0.00	0.00	0.00	0.00	0.00
Rcan1	uc007zzd.1,uc007zze.1	220.00	296.14	178.00	398.00	310.00	280.00
Acsm3	uc009jlq.1,uc009jlr.1,uc009jls.1,uc009jlt.1	1587.10	2127.28	1039.61	2993.14	1843.06	2208.67
Tmtc4	uc007vbi.1,uc007vbj.1,uc007vbk.1,uc007vbl.1,uc007vbm.1,uc007vbn.1,uc011zqo.1	49.68	26.00	31.00	81.00	67.00	70.00
2310057J18Rik	uc007esr.2,uc007ess.2	0.00	0.00	1.00	0.00	0.00	0.00
Gm2863	uc009swx.2	0.00	0.00	0.00	0.00	0.00	0.00
Pelo	uc007ryb.2,uc007ryc.2,uc007ryd.2	238.00	286.97	134.42	318.67	179.03	196.06
Mir503	uc012hho.1	0.00	0.00	0.00	0.00	0.00	0.00
Cnot4	uc009bid.2,uc009bie.2,uc009bif.2,uc009big.2,uc009bih.2	102.00	93.00	57.00	271.00	159.00	163.00
BC094633	uc008gmq.1	0.82	4.65	1.16	0.00	0.00	0.00
Rp1l1	uc007uia.1	0.00	0.00	0.00	0.00	0.00	0.00
Fam120c	uc009upb.1,uc009upc.1	68.58	83.10	25.00	176.57	106.67	108.77
Dcp1a	uc007suz.1,uc007sva.1,uc007svb.1	60.00	69.00	28.00	173.00	125.00	109.00
DQ540358	uc009dyx.2	0.00	0.00	0.00	0.00	0.00	0.00
F830016B08Rik	uc008faa.2	94.65	62.07	28.05	771.38	410.99	207.08
D14Abb1e	uc007stt.1,uc007stu.2,uc011zhv.1	336.36	317.21	135.00	857.33	562.66	558.79
Tbc1d9	uc009mju.2,uc009mjv.2	38.00	43.00	9.00	66.00	37.00	40.00
AK047617	uc029xbj.1	3.69	0.00	2.32	3.37	0.00	1.54
Nrg2	uc008ene.2,uc008enf.2,uc012bbl.1	0.00	2.00	0.00	2.00	0.00	0.00
Ctcfl	uc008odi.1,uc012cks.1	32.84	31.86	14.00	36.70	38.87	15.15
Adm	uc009jfj.1	19.00	13.06	8.00	26.00	13.00	30.00
Gm19557	uc008hvd.1	1.00	2.00	0.00	1.00	4.00	1.00
DQ565074	uc009pnm.2	0.00	0.00	0.00	0.00	0.00	0.00
4933408J17Rik	uc029ren.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ687099	uc008zco.2	0.00	0.00	0.00	0.00	0.00	0.00
1700001L19Rik	uc007rcd.2	0.00	1.00	0.00	0.00	0.00	0.00
AK019709	uc009axe.1	0.00	0.00	0.00	0.00	0.00	0.00
Pcdhga5	uc008eqr.1	2.12	0.00	0.00	4.23	12.88	4.30
Olfr1104	uc008knh.1	0.00	0.00	0.00	0.00	0.00	0.00
AK006139	uc007cvx.1	0.00	0.00	0.00	0.00	0.00	0.00
AK039104	uc007lxk.1	0.00	0.00	0.00	0.00	0.00	0.00
Ogt	uc009txz.1,uc009tya.1,uc009tyb.1,uc009tyc.2,uc009tyd.2	778.00	751.00	427.00	1796.31	1134.16	920.33
LOC100862177	uc009shz.1,uc009sjb.1,uc029vdg.1	2.40	8.29	5.57	5.33	3.10	4.54
Foxred1	uc009ost.1,uc009osu.1,uc009osv.1,uc009osw.1,uc009osx.1,uc012gqf.1	392.00	476.21	226.00	567.00	376.00	427.00
1700129C05Rik	uc007udz.2	0.00	0.00	0.00	0.00	0.00	0.00
Tslp	uc008ejl.2	2.00	2.00	0.00	0.00	0.00	0.00
Sec13	uc009dhm.1	883.00	1190.00	527.00	826.03	748.00	635.99
Lce1k	uc029unj.1	0.00	0.00	0.00	0.00	0.00	0.00
Ttll1	uc007xbc.2	20.00	31.00	17.00	42.00	29.00	30.00
Dnase1l1	uc009tof.2,uc012hkr.1	91.00	153.00	68.00	110.00	70.00	71.00
Sfpq	uc008utz.2,uc008uua.2,uc008uub.1,uc029uzm.1	478.57	514.47	213.00	1318.64	754.40	772.48
Rabl3	uc007zec.1,uc007zed.1,uc007zee.1	237.00	295.00	112.00	266.00	167.00	182.00
Plxna2	uc007een.1,uc007eeo.1	62.00	89.00	39.00	536.64	244.00	259.00
Nars2	uc009iiw.2	207.00	243.93	108.00	439.93	298.00	281.00
AK017182	uc007sdx.1	0.00	0.00	1.00	0.00	0.00	0.00
Gadd45b	uc007gfl.1	50.00	83.00	31.00	56.00	32.00	47.00
Med13	uc007ksk.1	239.98	234.98	112.00	989.23	522.84	558.00
DQ692774	uc008ywa.2	0.00	0.00	0.00	0.00	0.00	0.00
Acot6	uc007oei.1,uc007oej.2	28.88	27.12	14.03	68.58	36.43	34.79
Ssxb5	uc009spg.1	0.00	0.00	0.00	0.00	0.00	0.00
Esyt1	uc007hng.1,uc007hnh.1	197.00	272.06	136.00	380.06	265.00	257.00
Foxr1	uc009pdr.1	0.00	0.00	0.00	0.00	0.00	0.00
Slc25a39	uc007lrt.3,uc007lru.1	6229.13	7944.95	2957.48	6163.14	3911.19	4851.16
AK050516	uc007mzr.1	6.00	9.00	1.00	4.00	5.00	7.00
Vegfb	uc008gjv.2,uc008gjw.2	94.00	98.00	58.00	176.00	56.00	87.00
Aass	uc009bbc.2	4114.24	3615.78	1622.00	7130.81	4236.10	4726.97
Rcn3	uc009gta.2,uc009gtb.2	80.00	142.00	76.00	93.00	64.00	68.00
Mir431	uc011ysl.1	0.00	0.00	0.00	0.00	0.00	0.00
Serf2	uc008lzd.1	2151.56	3752.92	1277.24	2204.07	1927.52	1482.88
Fam168b	uc007apj.2,uc011wje.1,uc011wjf.1	505.00	613.00	311.00	1258.00	705.00	860.00
Ccdc54	uc007zkx.1	0.00	0.00	0.00	1.00	0.00	0.00
Isca1	uc007qvd.1	1032.00	1254.00	535.00	1199.00	844.00	878.00
Cela3b	uc008vja.1	1.00	0.00	1.00	144.00	0.00	0.00
Slc16a7	uc007hgx.1,uc007hgy.1,uc007hgz.1	706.00	778.52	408.00	1309.00	701.00	859.00
U2af2	uc009ezt.3,uc009ezu.3,uc009ezv.3,uc009ezw.3	850.98	989.01	470.35	1120.00	677.75	886.00
Ric8b	uc007gkx.1,uc007gky.1,uc007gkz.1	77.00	83.00	36.00	169.00	93.00	125.00
Crtc2	uc008qbt.2,uc008qbu.2,uc008qbv.2,uc008qbw.2	454.00	468.00	189.00	608.01	326.00	366.00
Olfr923	uc009oxf.2	0.00	0.00	0.00	0.00	0.00	0.00
Dcaf12l1	uc009tbg.2,uc009tbh.2	36.00	50.00	19.00	111.00	64.00	70.00
Olfr1269	uc008ksm.1	0.00	0.00	0.00	0.00	0.00	0.00
9830147E19Rik	uc009gmd.2,uc029wfc.1	41.85	43.97	21.58	79.82	76.55	41.37
Cyb5r1	uc007cru.1,uc007crv.1,uc007crw.1	122.00	158.01	62.00	151.03	81.01	82.00
Omp	uc009ike.1	2.00	0.00	1.00	1.00	1.00	0.00
Traf3ip3	uc007eec.2	5.19	8.29	9.00	12.07	7.41	4.17
Atp12a	uc007ubw.2	0.00	0.00	0.00	0.00	0.00	0.00
Gm14169	uc029uhs.1	0.00	0.00	0.00	0.00	0.00	0.00
Tpd52l2	uc008omk.1,uc008oml.1,uc008omm.1,uc008omn.1,uc008omo.1	475.34	578.00	292.00	504.00	395.00	375.00
AK039279	uc012ebe.1	1.00	0.00	0.00	0.00	0.00	0.00
Rps6ka6	uc009ucx.1,uc009ucy.1,uc009ucz.1,uc009uda.1	1.00	1.00	2.00	0.00	0.00	1.00
Cited4	uc008unl.1	1.00	14.00	3.00	5.00	9.00	6.00
Olfr30	uc007jbo.2	0.00	0.00	0.00	0.00	0.00	0.00
Ero1lb	uc007plr.1,uc007pls.1,uc007plt.1	357.00	450.00	179.00	1185.09	678.34	933.59
Gm13544	uc008jsq.1	0.00	0.00	0.00	0.00	1.00	0.00
Mthfd2	uc009cne.2	8.00	7.00	16.00	10.00	7.00	9.00
Rbbp4	uc008uwt.1	1185.53	1762.99	772.98	1975.12	1604.66	1318.26
AK048710	uc008jig.1	0.00	0.00	1.00	0.00	0.00	0.00
Zufsp	uc007eui.1,uc007euj.1,uc007euk.1,uc007eul.1,uc007eum.1	48.00	71.00	29.00	77.00	59.00	39.00
DQ546210	uc008fhx.2	0.00	0.00	0.00	0.00	0.00	0.00
Olfr1213	uc008kqq.2	0.00	0.00	0.00	0.00	0.00	0.00
Wbscr22	uc008zxn.1,uc008zxo.1,uc012eej.1	288.00	437.00	147.06	325.00	242.00	219.00
AB340955	uc029rhi.1	0.00	0.00	0.00	0.00	0.00	0.00
Slc4a1ap	uc008wyn.1,uc008wyo.1,uc008wyp.1,uc008wyq.1,uc008wyr.1	110.01	137.00	45.00	210.00	139.00	168.00
1700034K08Rik	uc009raw.2	0.00	0.00	0.00	0.00	0.00	0.00
AK076914	uc007phy.1	0.00	0.00	0.00	0.00	0.00	0.00
Rbfox2	uc007wnc.2,uc007wnd.2,uc007wne.2,uc007wnf.2,uc007wng.2,uc007wnh.2,uc007wni.2,uc011zvf.1,uc011zvg.1	264.00	285.00	122.00	681.00	369.00	451.00
1700086L19Rik	uc007nww.2,uc007nwx.2,uc011ynu.1	0.00	0.00	0.00	0.00	0.00	0.00
Olfr871	uc009oie.2	0.00	0.00	0.00	0.00	0.00	0.00
AB341958	uc011ymk.2	0.00	0.00	0.00	0.00	0.00	0.00
FJ541157	uc029xqr.1	0.00	0.00	0.00	0.00	0.00	0.00
Papss2	uc008hfl.2,uc008hfm.1,uc008hfn.1	1690.68	1352.50	723.19	2952.36	2226.83	1885.89
Gm1078	uc009ezb.1	0.00	0.00	0.00	0.00	0.00	0.00
4931429L15Rik	uc012gsl.1	0.00	0.00	0.00	1.00	0.00	0.00
AK199495	uc008kht.1	0.00	0.00	0.00	0.00	1.08	0.00
Tomm70a	uc007zmz.1	1656.00	1736.80	991.04	2731.02	2119.01	2182.00
DQ725189	uc007smr.2	0.00	0.00	0.00	0.00	0.00	0.00
D330022A01Rik	uc029xgc.1	0.00	0.00	0.00	0.00	0.00	0.00
Timm8a1	uc009ugd.1	896.99	1211.00	576.00	783.98	617.00	523.03
B230120H23Rik	uc008kbs.2,uc008kbt.2,uc008kbu.2,uc008kbv.2	129.00	148.00	102.00	329.00	198.00	191.01
Stk31	uc009bws.2,uc012els.1	0.00	0.00	0.00	0.00	0.00	0.00
AK165776	uc007eim.1	9.03	8.00	2.01	15.00	6.00	6.00
D730048J04Rik	uc029thx.1	1.00	3.00	0.00	0.00	0.00	0.00
Cd72	uc008spr.2,uc008sps.2,uc008spt.2,uc008spu.2,uc008spv.2	68.44	120.07	54.63	61.95	58.52	40.76
AK079958	uc007uwp.1	0.00	0.00	0.00	0.00	0.00	0.00
Ect2	uc008oth.2,uc008oti.2,uc008otj.2,uc008otk.2,uc012cnz.1	12.00	11.00	13.00	25.00	13.00	5.00
DQ686125	uc008tqs.2	0.00	0.00	0.00	0.00	0.00	0.00
Uqcrc2	uc009jms.1	3506.42	4010.98	2091.82	4539.33	3241.00	3197.67
LOC622124	uc029umb.1	0.00	0.00	0.00	0.00	0.00	0.00
Vmn1r-ps103	uc007psq.2	0.00	0.00	0.00	0.00	0.00	0.00
Npvf	uc009bxg.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ714238	uc029uvq.1	0.00	0.00	0.00	0.00	0.00	0.00
Sprtn	uc009nxx.2	24.00	21.00	12.00	104.00	46.00	70.00
DQ716672	uc008cwp.1	0.00	0.00	0.00	0.00	0.00	0.00
Setd6	uc009myv.1,uc009myw.1,uc009myx.1	143.00	157.00	68.00	222.18	118.01	168.00
DQ558187	uc008lbw.2	0.00	0.00	0.00	0.00	0.00	0.00
Nme8	uc007ppi.1,uc007ppj.1	0.00	0.00	0.00	0.00	0.00	0.00
Mir2861	uc012bty.1	0.00	0.00	0.00	0.00	0.00	0.00
Nhlrc2	uc008hzc.1	192.00	190.00	104.00	326.10	201.00	224.00
Olfr432	uc007dso.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ701777	uc007sqo.1	0.00	0.00	0.00	0.00	0.00	0.00
Gm2042	uc007ojh.2,uc007ojo.3,uc007ojp.3,uc029ruk.1	0.00	0.00	0.00	0.00	0.00	0.00
Fam108c	uc009ied.2	716.01	1026.00	390.00	1467.00	924.94	1036.88
DQ707224	uc009hsg.1	0.00	0.00	0.00	0.00	0.00	0.00
AK085446	uc029swn.1	2.00	0.00	1.00	1.00	2.00	0.00
Dhx40	uc007ktc.1	382.69	383.98	199.00	817.87	486.00	570.00
AK154225	uc007ybf.1	7.00	1.00	4.00	13.00	7.00	4.00
Gm17384	uc012dwj.1	0.00	0.00	0.00	0.00	0.00	0.00
AK149132	uc012fxf.1	8.00	2.01	1.02	1.00	3.00	2.00
Lipi	uc007zrm.2,uc007zrn.2	1.21	1.06	1.00	1.07	2.14	0.00
DQ563137	uc007sob.2	0.00	0.00	0.00	0.00	0.00	0.00
Drd1a	uc011yzm.2	0.00	0.00	0.00	0.00	0.00	0.00
Csrp2bp	uc008mqy.2,uc008mqz.2,uc008mra.2	198.00	215.01	97.00	443.00	226.00	236.89
Gm10872	uc029ssh.1	20.00	37.00	17.00	11.00	9.00	11.00
DQ553108	uc009hkw.1	0.00	0.00	0.00	0.00	0.00	0.00
4932414N04Rik	uc008jxr.1	0.00	0.00	0.00	0.00	0.00	0.00
